Link,Id,User name,time,Tweet,Likes,Replies,Retweets
https://mobile.twitter.com/imVkohli/status/1469272961261707266,1469272961261707266,@imVkohli,2021-12-10T11:49:06.000Z,Virat Kohli @imVkohli · Dec 10  2021 WTF?! Keep Calm.  It's the WROGN THROWAWAY FESTIVAL. The Biggest Sale is on  starting 9th -12th Dec. Shop Mad  Stay Wrogn! #LinkinBio @StayWrogn  @myntra . . . #StayMad #StayWrogn #WTF #WrognThrowawayFestival #SaleAlert #Ad 1 364 3 501 48.6K, 48698 likes,1364 replies, 3501 Retweets
https://mobile.twitter.com/imVkohli/status/1468905413173137410,1468905413173137410,@imVkohli,2021-12-09T11:28:36.000Z,Virat Kohli @imVkohli · Dec 9  2021 The new all black Xtreme 160R ‘Stealth Edition’ from #HeroMotoCorp is like a dark Ninja that cuts through the boundaries of speed. Come  get used to seeing the rest in the rear-view mirror as the trigger shoots ‘GO’. #GoBoom #GoXtreme #GoBoomInStealthMode #Hero100million #ad 1 886 3 893 53.3K, 53309 likes,1886 replies, 3893 Retweets
https://mobile.twitter.com/imVkohli/status/1468574791317688323,1468574791317688323,@imVkohli,2021-12-08T13:34:49.000Z,Virat Kohli @imVkohli · Dec 8  2021 Deeply saddened by the untimely demise of CDS Bipin Rawat ji and other officials in a tragic helicopter crash. My deepest condolences to the friends & family members.  1 243 12.9K 168.7K, 168714 likes,1243 replies, 12991 Retweets
https://mobile.twitter.com/imVkohli/status/1468510969215160321,1468510969215160321,@imVkohli,2021-12-08T09:21:13.000Z,Virat Kohli @imVkohli · Dec 8  2021 Once upon a time.  #80skids #backinthedays. 3 458 8 518 176.2K, 176216 likes,3458 replies, 8518 Retweets
https://mobile.twitter.com/imVkohli/status/1450341015483678721,1450341015483678721,@imVkohli,2021-10-19T06:00:18.000Z,Virat Kohli @imVkohli · Oct 18  2021 Congratulations for completing 50 years!  @vitabiotics  has empowered millions to improve their own health through innovation in nutrition. I’m proud to be with  @Wellmanin1  which helps me be at my best. Take Test@ http://Vitabiotics.in    Shop@ https://bit.ly/3lLUx0T #AD 1 149 2 494 39.3K, 39315 likes,1149 replies, 2494 Retweets
https://mobile.twitter.com/imVkohli/status/1449986788852846596,1449986788852846596,@imVkohli,2021-10-18T06:32:44.000Z,Virat Kohli @imVkohli · Oct 17  2021 Shikhi  how's this one?  @SDhawan25 3 654 11.3K 142.7K, 142723 likes,3654 replies, 11358 Retweets
https://mobile.twitter.com/imVkohli/status/1449699978419466243,1449699978419466243,@imVkohli,2021-10-17T11:33:03.000Z,Virat Kohli @imVkohli · Oct 17  2021 Over the next few weeks  I'll be sharing a series of my personal tips for celebrating a meaningful Diwali with loved ones and family. Stay tuned by following my Pinterest profile 'viratkohli' - link in bio  @Pinterest #diwali2021 #AD 21.3K 10.7K 66.5K, 66535 likes,21327 replies, 10718 Retweets
https://mobile.twitter.com/imVkohli/status/1449333487605989377,1449333487605989377,@imVkohli,2021-10-16T11:16:45.000Z,Virat Kohli @imVkohli · Oct 16  2021 Blown away and mesmerised by this kids talent  @sanchitstyle . He is beyond exceptional. Hats off to you god bless you. Had goosebumps watching him dance.  instagram.com Sanchit Chanana (@sanchitstyle) • Instagram video 844 4 355 77K, 77026 likes,844 replies, 4355 Retweets
https://mobile.twitter.com/imVkohli/status/1448898761250381824,1448898761250381824,@imVkohli,2021-10-15T06:29:18.000Z,Virat Kohli @imVkohli · Oct 14  2021 This is what playing in bubbles feels like. 2 642 8 738 175K, 175026 likes,2642 replies, 8738 Retweets
https://mobile.twitter.com/imVkohli/status/1448881210965381120,1448881210965381120,@imVkohli,2021-10-15T05:19:34.000Z,Virat Kohli @imVkohli · Oct 14  2021 Wishing everyone a very Happy Dussehra. May this festival bring joy  peace  happiness and prosperity to you and your loved ones. 1 898 10K 147.7K, 147715 likes,1898 replies, 10019 Retweets
https://mobile.twitter.com/imVkohli/status/1447826324173692929,1447826324173692929,@imVkohli,2021-10-12T07:27:49.000Z,Virat Kohli @imVkohli · Oct 12  2021 Not the result we wanted but I am so proud of the character shown by the boys throughout the tournament. A disappointing end but we can hold our heads high. Thank you to all the fans  management & the support staff for your constant support.   @RCBTweets 6 489 22.5K 202.3K, 202382 likes,6489 replies, 22573 Retweets
https://mobile.twitter.com/imVkohli/status/1447442661854441472,1447442661854441472,@imVkohli,2021-10-11T06:03:17.000Z,Virat Kohli @imVkohli · Oct 10  2021 Happy birthday to the versatile and the evergreen  @SrBachchan  sir.  Wishing you good health and happiness always. 1 119 6 260 122K, 122079 likes,1119 replies, 6260 Retweets
https://mobile.twitter.com/imVkohli/status/1447265301934993413,1447265301934993413,@imVkohli,2021-10-10T18:18:31.000Z,Virat Kohli @imVkohli · Oct 10  2021 Anddddd the king is back the greatest finisher ever in the game. Made me jump Outta my seat once again tonight. @msdhoni 11.2K 97.4K 527.6K, 527622 likes,11288 replies, 97409 Retweets
https://mobile.twitter.com/imVkohli/status/1447221895795933186,1447221895795933186,@imVkohli,2021-10-10T15:26:02.000Z,Virat Kohli @imVkohli · Oct 10  2021 Downtime  #recoverysesh 2 178 7 923 166.2K, 166294 likes,2178 replies, 7923 Retweets
https://mobile.twitter.com/imVkohli/status/1427342349349244953,1427342349349244953,@imVkohli,2021-08-16T18:51:49.000Z,Virat Kohli @imVkohli · Aug 16  2021 What a game of cricket  Everyone stepping up  love the commitment and attitude. Way to go boys   4 051 21.2K 220.4K, 220418 likes,4051 replies, 21285 Retweets
https://mobile.twitter.com/imVkohli/status/1425004230113300487,1425004230113300487,@imVkohli,2021-08-10T08:00:58.000Z,Virat Kohli @imVkohli · Aug 10  2021 #Partnership No . Just  Ace your day with one8 No Gas deodorants. Go on... And on! For exclusive offers  click here- https://bit.ly/3xzWb8u @Flipkart  @ScentialsWorld #one8 #one8fragrances #nogas 736 1 546 21.8K, 21816 likes,736 replies, 1546 Retweets
https://mobile.twitter.com/imVkohli/status/1424729338302263306,1424729338302263306,@imVkohli,2021-08-09T13:48:39.000Z,Virat Kohli @imVkohli · Aug 9  2021 Work never stops.  2 606 6 082 108.5K, 108584 likes,2606 replies, 6082 Retweets
https://mobile.twitter.com/imVkohli/status/1424408145804218369,1424408145804218369,@imVkohli,2021-08-08T16:32:20.000Z,Virat Kohli @imVkohli · Aug 8  2021 Congratulations to all our winners and participants at the Olympics. Winning and losing is a part of sport  but what matters is you gave your best for the nation. We are so proud of you and I wish you all the very best going forward. Jai Hind.  #tokyo2020 #TeamIndia 2 095 14.3K 193.7K, 193773 likes,2095 replies, 14327 Retweets
https://mobile.twitter.com/imVkohli/status/1422282805531201536,1422282805531201536,@imVkohli,2021-08-02T19:47:00.000Z,Virat Kohli @imVkohli · Aug 2  2021 Happy Birthday skip. I hope you have a blessed day like every other day in your life & I always wish you the best. I'm grateful for our friendship that's been formed very organically and contrary to belief  we've majorly connected on Delhi street food memories.   @chetrisunil11 836 5 207 102.9K, 102997 likes,836 replies, 5207 Retweets
https://mobile.twitter.com/imVkohli/status/1422214916593709056,1422214916593709056,@imVkohli,2021-08-02T15:17:14.000Z,Virat Kohli @imVkohli · Aug 2  2021 Stronger together 1 327 5 995 124K, 124055 likes,1327 replies, 5995 Retweets
https://mobile.twitter.com/imVkohli/status/1421714878981570563,1421714878981570563,@imVkohli,2021-08-01T06:10:15.000Z,Virat Kohli @imVkohli · Jul 31  2021 Happy Friendship Day MRF (My Reliable Friend)  @ABdeVilliers17   @MRFWorldwide #ad 1 157 6 681 96K, 96040 likes,1157 replies, 6681 Retweets
https://mobile.twitter.com/imVkohli/status/1421102771240017923,1421102771240017923,@imVkohli,2021-07-30T13:37:58.000Z,Virat Kohli @imVkohli · Jul 30  2021 #OnlySeeGreat  @pumacricket #ad 405 1 978 29.8K, 29847 likes,405 replies, 1978 Retweets
https://mobile.twitter.com/imVkohli/status/1421005249557368836,1421005249557368836,@imVkohli,2021-07-30T07:10:27.000Z,Virat Kohli @imVkohli · Jul 30  2021  -  @AnushkaSharma 2 238 9 019 183K, 183004 likes,2238 replies, 9019 Retweets
https://mobile.twitter.com/imVkohli/status/1390894255879573507,1390894255879573507,@imVkohli,2021-05-08T05:00:06.000Z,Virat Kohli @imVkohli · May 7  2021 3.6 crores in less than 24 hours! Overwhelmed with the response. Let’s keep fighting to meet our target and help the country. Thank you. #InThisTogether #ActNow #OxygenForEveryone #TogetherWeCan #SocialForGood @ketto  @actgrants 1 118 5 785 62.1K, 62168 likes,1118 replies, 5785 Retweets
https://mobile.twitter.com/imVkohli/status/1390584792261947397,1390584792261947397,@imVkohli,2021-05-07T08:30:24.000Z,Virat Kohli @imVkohli · May 7  2021 Requesting you all to come forward and show your support to our country and our people. We are #InThisTogether  Link in Bio   #ActNow #OxygenForEveryone #TogetherWeCan #SocialForGood @ketto  @actgrants 632 4 985 45.4K, 45486 likes,632 replies, 4985 Retweets
https://mobile.twitter.com/imVkohli/status/1390532345753522180,1390532345753522180,@imVkohli,2021-05-07T05:02:00.000Z,Virat Kohli @imVkohli · May 6  2021 Anushka and I have started a campaign on  @ketto   to raise funds for Covid-19 relief  and we would be grateful for your support.  Let’s all come together and help those around us in need of our support. I urge you all to join our movement.  Link in Bio!  #InThisTogether 4 247 15.6K 122K, 122021 likes,4247 replies, 15607 Retweets
https://mobile.twitter.com/imVkohli/status/1385853592574119936,1385853592574119936,@imVkohli,2021-04-24T07:10:19.000Z,Virat Kohli @imVkohli · Apr 24  2021 One of the greatest to have ever played the game and an inspiration to many. Happy Birthday  @sachin_rt  paaji. 2 413 11.1K 184.9K, 184934 likes,2413 replies, 11192 Retweets
https://mobile.twitter.com/imVkohli/status/1385540506373869568,1385540506373869568,@imVkohli,2021-04-23T10:26:13.000Z,Virat Kohli @imVkohli · Apr 23  2021 Si Señor!  And top signing for  @pumacricket  &  @RCBTweets  Quote Tweet PepTeam @PepTeam  · Apr 23  2021 It's time to finally learn cricket's rules Thanks to my friend @imVkohli for the shirt. Now is your turn to use your @ManCity shirt @pumaindia @pumafootball #PUMAxRCB 0:01 500.1K views 516 3 082 49.4K, 49486 likes,516 replies, 3082 Retweets
https://mobile.twitter.com/imVkohli/status/1385303386157772800,1385303386157772800,@imVkohli,2021-04-22T18:43:59.000Z,Virat Kohli @imVkohli · Apr 22  2021 Another important win  great character shown by the boys. Onwards & Upwards  #playbold  @RCBTweets 2 318 11.6K 169.7K, 169760 likes,2318 replies, 11694 Retweets
https://mobile.twitter.com/imVkohli/status/1384414865448521729,1384414865448521729,@imVkohli,2021-04-20T07:53:19.000Z,Virat Kohli @imVkohli · Apr 20  2021 Anushka Sharma 3 825 12.5K 296.2K, 296286 likes,3825 replies, 12599 Retweets
https://mobile.twitter.com/imVkohli/status/1384179020347023365,1384179020347023365,@imVkohli,2021-04-19T16:16:09.000Z,Virat Kohli @imVkohli · Apr 19  2021 #onlyseegreat Quote Tweet PUMA.eth @PUMA  · Apr 19  2021 “Great is the need  want and will to show up. It’s standing your ground  believing in yourself and staying true to your roots. Being great is about putting in the work on good days and bad and showing up with unswerving attitude  discipline and belief.” - @imVkohli #OnlySeeGreat 534 2 332 45K, 45094 likes,534 replies, 2332 Retweets
https://mobile.twitter.com/imVkohli/status/1368803364037795840,1368803364037795840,@imVkohli,2021-03-08T05:58:47.000Z,Virat Kohli @imVkohli · Mar 7  2021 Happy Women's Day to all the amazing women of the world. The strength of society is the strength of women. 1 330 9 208 168.4K, 168402 likes,1330 replies, 9208 Retweets
https://mobile.twitter.com/imVkohli/status/1368518607676735491,1368518607676735491,@imVkohli,2021-03-07T11:07:16.000Z,Virat Kohli @imVkohli · Mar 7  2021 Happy birthday to the greatest ever. The fearless king. Sir viv  @ivivianrichards 1 300 7 091 152.5K, 152565 likes,1300 replies, 7091 Retweets
https://mobile.twitter.com/imVkohli/status/1368163593217216513,1368163593217216513,@imVkohli,2021-03-06T11:36:34.000Z,Virat Kohli @imVkohli · Mar 6  2021 We worked really hard for this  happy to be in the finals. Looking forward.  #TeamIndia 3 068 15.3K 208.3K, 208305 likes,3068 replies, 15378 Retweets
https://mobile.twitter.com/imVkohli/status/1367091004319260672,1367091004319260672,@imVkohli,2021-03-03T12:34:29.000Z,Virat Kohli @imVkohli · Mar 3  2021 ... 1 622 6 802 119.5K, 119509 likes,1622 replies, 6802 Retweets
https://mobile.twitter.com/imVkohli/status/1366615963332845569,1366615963332845569,@imVkohli,2021-03-02T05:06:50.000Z,Virat Kohli @imVkohli · Mar 1  2021 A deo combo that helps you feel fresh and stay cool.  Get it on  @Flipkart  Super Saver Days from 1st to 3rd March.  To shop  hit the link- https://bit.ly/3srFl9A @ScentialsWorld  @one8world #one8fragrances 536 1 726 26.7K, 26793 likes,536 replies, 1726 Retweets
https://mobile.twitter.com/imVkohli/status/1366346518030995456,1366346518030995456,@imVkohli,2021-03-01T11:16:10.000Z,Virat Kohli @imVkohli · Mar 1  2021 The boys who make life hard in the gym but easy on the field 1 246 6 135 162.7K, 162794 likes,1246 replies, 6135 Retweets
